nom|lat|lng|type|capacite|seuil
Le Village|44.844224|-0.574823|Mairies / administrations|200|3
Local Commercial Domofrance|44.839993|-0.569804|Centres commerciaux|0|2
Local Commercial Sarl Cafi|44.842046|-0.579288|Centres commerciaux|0|4
Local Commercial Sarl Piedra|44.850983|-0.569732|Centres commerciaux|0|2
Local Commercial Sci Richemont|44.836059|-0.572973|Centres commerciaux|0|4
Local Commercial Superdry|44.839497|-0.571955|Centres commerciaux|19|3
Local De Pre Collecte Mutualise|44.851452|-0.575275|Salles de spectacle / conférences|19|3
Local France Telecom|44.841729|-0.578483|Centres commerciaux|0|4
Local Tiers-Lieu Laplanche|44.832551|-0.568358|Écoles / collèges / lycées|88|3
Locaux Commerciaux - Commerce A -  Boutique Eurolines|44.822734|-0.553899|Salles de spectacle / conférences|40|4
Locaux D'Activites|44.842423|-0.622533|Mairies / administrations|0|8
Locaux De Ventes Emmaus|44.822494|-0.580989|Centres commerciaux|0|6
Locaux Des Societes D'Agents Sncf|44.817649|-0.564094|Salles de spectacle / conférences|285|6
Magasin Carrefour Market|44.835607|-0.570493|Centres commerciaux|1369|3
Magasin Com 8|44.834224|-0.573192|Centres commerciaux|17|4
Magasin D'Optique|44.842423|-0.622533|Centres commerciaux|10|8
Magasin De Mode|44.842944|-0.575163|Centres commerciaux|0|3
Magasin De Vente|44.819706|-0.597826|Centres commerciaux|72|8
Magasin De Vente D'Une Station Service|44.855158|-0.592299|Centres commerciaux|43|6
Magasin De Vente De Pret A Porter|44.840801|-0.577794|Centres commerciaux|0|4
Magasin Fransy|44.839544|-0.568733|Centres commerciaux|28|2
Magasin General -  Caserne Niel - Darwin|44.849663|-0.561249|Centres commerciaux|574|2
Magasin Go Sport|44.83959|-0.574067|Centres commerciaux|1352|3
Magasin Ikea|44.88067|-0.570246|Centres commerciaux|5450|7
Magasin Jane De Boy|44.842601|-0.571217|Mairies / administrations|0|2
Magasin Laurence D - Saint Prix|44.844243|-0.577723|Centres commerciaux|0|4
Magasin Lego|44.841038|-0.575|Centres commerciaux|0|3
Magasin Lidl|44.876745|-0.543695|Centres commerciaux|478|2
Magasin Lothaire|44.841627|-0.578682|Centres commerciaux|105|4
Magasin Lush Fresh|44.841038|-0.575|Centres commerciaux|41|3
Maison Urbis Park|44.841376|-0.570977|Mairies / administrations|3|2
Mam Et Moi|44.840121|-0.587347|Écoles / collèges / lycées|3|5
Mam Sacrée Marmaille|44.853852|-0.588897|Écoles / collèges / lycées|12|6
Marche De La Poesie|44.856355|-0.568436|Salles de spectacle / conférences|1050|3
Marche Des Capucins Halle A Banc 15 C|44.830671|-0.567738|Centres commerciaux|0|4
Marche Des Capucins-Hall A-Pizzeria|44.83769|-0.567465|Centres commerciaux|0|2
Marche Des Capucins-Halle A-Banc 2 Cd|44.830671|-0.567738|Centres commerciaux|0|4
Marche Des Capucins-Halle A-Banc 29 Et 29 B|44.830671|-0.567738|Centres commerciaux|0|4
Marche Des Capucins-Halle A-Banc 3 A C|44.838714|-0.596208|Centres commerciaux|0|6
Marche Des Capucins-Halle A-Banc 5 C|44.830671|-0.567738|Centres commerciaux|0|4
Marche Des Capucins-Halle A-Banc 5 D|44.830671|-0.567738|Centres commerciaux|0|4
Marche Des Capucins-Halle A-Banc 8 D|44.838714|-0.596208|Centres commerciaux|0|6
Marche Des Capucins-Halle B|44.838714|-0.596208|Centres commerciaux|0|6
Marche Naba|44.842025|-0.547028|Centres commerciaux|140|4
Maroquinerie Mialet|44.841569|-0.581465|Centres commerciaux|15|4
Maternelle Achard|44.871358|-0.547286|Écoles / collèges / lycées|110|2
Maternelle Le Point Du Jour (Ex Claveau)|44.880215|-0.548878|Écoles / collèges / lycées|150|4
Mercure Formation|44.848043|-0.596873|Écoles / collèges / lycées|18|6
"Micro Crèche ""Pas A Pas"""|44.87971|-0.5721|Écoles / collèges / lycées|14|7
Micro Creche Comme 3 Pommes|44.83567|-0.575493|Écoles / collèges / lycées|10|4
Micro Creche Les Cabanes In The Jungle|44.831685|-0.602904|Écoles / collèges / lycées|10|7
Micro Crèche Meriadeck|44.842226|-0.593543|Écoles / collèges / lycées|9|6
Micro Creche Square Rougerie|44.858468|-0.630642|Écoles / collèges / lycées|11|9
Millesime 2014 Union Des Grands Crus De Bordeaux|44.856355|-0.568436|Halls d'exposition|5619|3
Mutuelle Mgen|44.837943|-0.570173|Mairies / administrations|12|3
Nad' Hotel Restaurant|44.823615|-0.579763|Hôtels / hébergements|77|6
Office Notarial Rouzet Brehant|44.84372|-0.576246|Mairies / administrations|8|3
Otto|44.840188|-0.579618|Centres commerciaux|38|4
Palais Des Congresarbre De Noel Des Ce 2019|46.327502|-0.471609|Salles de spectacle / conférences|6141|9
Pallio Outlet Store|44.858458|-0.562943|Centres commerciaux|35|3
Papa Pique Et Maman Coud|44.839078|-0.579151|Centres commerciaux|13|4
Parapharmacie Le Comptoir Sante|44.856656|-0.56212|Centres commerciaux|78|2
Parc Des Expositions Batiment Stockage|44.83769|-0.567465|Halls d'exposition|0|2
Parcours Formation|44.825563|-0.588473|Écoles / collèges / lycées|0|7
Patisserie|44.841056|-0.589149|Centres commerciaux|19|6
Pause Nat|44.84039|-0.569416|Centres commerciaux|3|2
Pharmacie Des Halles|44.833051|-0.594796|Centres commerciaux|12|7
Pharmacie Gambetta|44.841739|-0.580445|Centres commerciaux|7|4
Pharmacie La Fleche|44.834956|-0.566626|Centres commerciaux|46|3
Pharmacie Monge|44.838492|-0.573885|Centres commerciaux|186|3
Pharmacie Principale|44.841502|-0.574381|Centres commerciaux|0|3
