rs_sv_arret_p;rs_sv_lipub_a
977;24
995;22
1002;48
1008;23
1045;50
1050;57
1176;14
1188;56
1253;56
1305;3
1336;31
1385;57
1387;14
1395;24
119;9
126;39
422;50
433;27
452;27
469;31
484;7
491;49
520;42
530;17
550;13
815;7
835;6
835;20
1699;40
1802;18
1926;13
2070;53
2071;53
2085;6
2085;20
2085;49
2103;26
2154;43
2707;4
2709;57
2717;30
2853;21
2864;25
2866;25
2867;25
2869;36
2875;36
2903;17
2936;47
2936;58
2969;47
2992;8
2995;53
3053;33
3059;11
3086;12
3086;25
3110;31
3150;57
3185;13
3189;6
2291;41
2300;54
2311;28
2320;21
2348;2
2348;21
2348;45
2351;14
2393;23
2394;23
2394;34
2401;1
2401;34
2402;34
2448;4
2481;52
2497;46
2521;11
1500;37
1559;30
1620;23
1642;29
1644;23
1644;34
1680;5
921;30
1064;16
1374;23
16;44
19;26
49;9
226;48
270;17
312;3
355;56
369;56
448;31
483;44
491;6
491;20
625;31
748;39
1705;40
1723;38
1770;38
1796;48
1803;18
1811;10
1812;10
1893;55
1900;55
1913;13
1933;45
2064;53
2068;22
2530;45
2562;16
2571;22
2609;54
2863;12
2863;25
2864;12
2866;12
2867;12
2868;36
2877;22
2904;17
2906;37
2993;8
3002;21
3004;21
3058;26
3078;52
3151;57
3189;20
3202;19
2333;26
2393;34
2394;1
2400;1
2480;52
2485;52
1406;24
1452;4
1454;32
1455;23
1474;28
1621;29
1639;40
1644;1
1665;29
1679;14
858;32
1035;32
1072;55
1180;55
13;7
135;51
184;13
211;37
272;5
653;32
707;40
1722;15
1760;51
2078;42
2088;26
2106;35
2161;43
2572;22
2695;24
2708;57
2815;16
2853;2
3002;45
3054;33
3073;47
3079;45
3166;22
3189;49
3216;53
2260;43
2288;22
2292;58
2380;23
2393;1
2498;46
2520;11
1444;42
1445;2
1445;21
1459;7
1620;34
1673;29
1673;46
3004;2
3112;30
3201;19
3257;37
2293;58
2400;34
2510;41
1434;24
1470;15
1620;1
1665;46
