rs_sv_chem_l;rs_sv_tronc_l
2173530;3922
2173533;3922
2173835;2794
2173836;2794
2173851;2794
2173852;2794
2173446;13300
2173688;13300
2173691;13300
2173693;13300
2173696;13300
2173418;1282
2173420;1282
2173562;1282
2173527;1514
2173532;1514
2173533;1514
2173534;1514
2173850;11670
2173835;12541
2173527;1518
2173850;1518
2173989;1518
2173778;1311
2173857;1660
2173418;1755
2173420;1755
2173560;1755
2173788;1755
2173862;1755
2173623;2676
2173710;2676
2174234;2676
2174270;2676
2174296;2676
2174334;2676
2174344;2676
2173861;1425
2173719;1537
2173820;1537
2173542;1307
2173713;85
2173852;908
2173537;1460
2173540;1460
2173422;1754
2173862;1754
2173780;994
2173832;994
2173791;1654
2173792;1654
2173820;268
2173411;2743
2173786;2042
2173722;1824
2174142;11789
2173465;2567
2173802;2567
2174428;2567
2174375;2570
2173857;6806
2173859;6806
2173860;6806
2173581;1760
2173584;1760
2173903;2337
2173530;513
2173533;513
2173581;3716
2173730;1308
2173722;11305
2173584;2028
2173791;1304
2173793;1304
2173790;3075
2173859;4440
2173786;1249
2173788;1249
2173850;1763
2173850;1431
2173853;755
2173790;3057
2173853;141
2173861;452
2173862;452
2173840;409
2173562;12786
2174417;2363
2174424;2363
2174447;2363
2174463;2363
2173828;8562
2173371;1990
2173852;1749
2173858;1649
2173861;6779
2173862;3088
2173868;34
2173860;1582
2173440;1126
2173681;1126
2173801;4204
2173801;1807
2173590;3462
2173422;3481
2173735;51
2173736;51
2173397;2867
2173454;2867
2174360;2917
2174361;2917
2173637;2079
2173638;2079
2173503;3373
2173765;3373
2173463;2565
2173616;2565
2173617;2565
2173618;2565
2173619;2565
2173650;2565
2173873;2565
2173417;1694
2173879;1818
2173858;1428
2173412;1551
2173878;1487
2173584;6880
2173793;1286
2173791;883
2173486;338
2173780;1665
2173546;686
2173858;22
2173581;1845
2173860;1845
2173780;1656
2173804;1656
2173857;1523
2173865;1593
2173862;779
2173861;1594
2173862;1594
2173455;1708
2173849;386
2173858;1615
2173581;1702
2173582;1702
2173804;4662
2173463;84
2173581;1653
2173582;1653
2173859;3082
2173843;720
2173582;12785
2173454;2005
2173851;1798
2173836;1717
2173581;12967
2173851;7689
2173839;1294
2173840;1159
2173981;1344
2174216;1344
2174336;1344
2174337;1344
2174349;1344
2173440;1473
2173441;1473
2173680;1473
2173440;1899
2173441;1899
2173734;11348
2173440;13334
2173441;13334
2173681;13334
2173440;1901
2173441;1901
2173734;1901
2173397;2679
2173440;218
2173680;218
2173414;4052
2173801;1510
2173486;439
2173798;439
2173810;2493
2173863;2493
2173864;2493
2174416;2375
2173867;2147
2173575;3588
2173577;3588
2173752;2232
2173807;2757
2173865;2757
2173886;376
2173463;583
2173704;402
2173752;402
2173769;2229
2173485;2574
2173465;324
2173542;1254
2173713;1254
2173496;2040
2173497;2040
2173790;3507
2173514;32
2173517;32
2173648;2782
2173636;3798
2173638;3798
2173503;2639
2173802;3793
2173634;1315
2173691;1012
2173853;1012
2173496;526
2174417;14272
2173894;6862
2173376;2591
2173377;2591
2173809;2321
2174295;2321
2173562;2712
2173465;578
2173514;11615
2173516;11615
2174176;11615
2174180;11615
2174182;11615
2174184;11615
2174369;11615
2173387;2219
2173380;2384
2173646;3134
2173899;3134
2173506;461
2173891;4613
2173517;543
2173417;1054
2173542;1054
2173742;2824
2173530;305
2174179;305
2174465;1144
2173690;13330
2173693;13330
2173835;1293
2173852;1293
2173520;1120
2173522;1120
2173523;1120
2173526;1120
2173874;3694
2173891;2966
